date,Hospitalized Census 5%,Hospitalized Census 25%,Hospitalized Census Median,Hospitalized Census 75%,Hospitalized Census %95,ICU Census 5%,ICU Census 25%,ICU Census Median,ICU Census 75%,ICU Census %95,Vent Census 5%,Vent Census 25%,Vent Census Median,Vent Census 75%,Vent Census %95,Hospitalized Admits 5%,Hospitalized Admits 25%,Hospitalized Admits Median,Hospitalized Admits 75%,Hospitalized Admits %95,ICU Admits 5%,ICU Admits 25%,ICU Admits Median,ICU Admits 75%,ICU Admits %95,Vent Admits 5%,Vent Admits 25%,Vent Admits Median,Vent Admits 75%,Vent Admits %95
2020-03-17,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1
2020-03-18,0.0,0.0,0.9044832731,1.811290861,2.8670866892999998,0.0,0.0,0.0,0.900846496225,1.8791356712,0.0,0.0,0.0,0.8927792942,1.7891964306,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1
2020-03-19,0.0,0.8191292384000001,1.6132117785,2.0,3.7672546057,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.9164970849,1.8543877738,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1
2020-03-20,0.0,1.0,2.0,3.2196895065,4.7966899377,0.0,0.0,0.8181672009000001,1.4860026633,2.6157351857,0.0,0.0,0.7860374722,1.0,2.3588018923,0,0,1,1,3,0,0,0,1,1,0,0,0,1,1
2020-03-21,0.7512201216000001,1.8188277455000001,2.8302919984,4.1686321062,6.1747161756,0.0,0.5751887678000001,1.0,1.8050985433000002,3.2034162882,0.0,0.0,0.8979910937000001,1.6644087854,2.7955753196,0,0,1,2,3,0,0,0,1,2,0,0,0,1,2
2020-03-22,1.1924023345,2.5878630474,3.7881345289,5.3003879727,7.5950180236,0.0,0.7577899839000001,1.4538186036499998,2.3987820326,3.5544258787,0.0,0.6489219522,1.0,1.9841847613999999,3.399015518,0,0,1,2,3,0,0,0,1,2,0,0,0,1,2
2020-03-23,1.687667565,3.6496043403,5.0617028692,6.5703405293,9.0772440003,0.0,1.0,1.8211894205,2.8530237579,4.4035361672,0.0,0.8227462021,1.6587357521000001,2.4987877102000002,4.0388300679,0,1,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-03-24,2.675666478,4.728730140375,6.3663615973,8.0360558017,10.9838414424,0.500837241,1.4895981040000001,2.3829068438,3.4972180969,5.1992319552,0.0,1.2335324382,1.9760099491,3.0570970199,4.728684047639984,0,1,2,3,4,0,0,1,1,2,0,0,0,1,2
2020-03-25,3.6761086173,6.0454819447,7.8522516871,9.8215750273,12.6809476579,0.6425757557,1.8282288438,2.9578020507,4.1086067007,5.9260808001,0.5288916909,1.5480198965,2.5233098673,3.6211951051,5.3310388067,0,1,2,3,5,0,0,1,1,3,0,0,1,1,2
2020-03-26,4.8304522332,7.6861499748,9.5963596613,11.5836980161,14.702430472500001,1.0,2.4384909158,3.5880604835,4.7526474192,6.9849614424,0.7786763802000001,2.0637370305,3.1191163722,4.3149835032,6.0465257168,0,1,2,3,5,0,0,1,2,3,0,0,1,1,3
2020-03-27,6.4519184450000004,9.3599851563,11.4347740524,13.6979172914,16.9993454001,1.5223026891,3.1467911578,4.3417036971,5.6792692250000005,7.941139997499999,1.3325540520999999,2.6637417437,3.7365505541,5.0544464309,7.0261526005,0,2,3,4,6,0,0,1,2,3,0,0,1,2,3
2020-03-28,8.2515919706,11.585127311699999,13.8699289111,16.2872975877,19.5425012295,2.1786913136,3.8217446664,5.1184634589,6.6585499354,8.9599015354,1.7578266647,3.2851695978,4.4875774605,5.9061022955,8.0194788624,1,2,3,5,7,0,0,1,2,3,0,0,1,2,3
2020-03-29,10.14588339,13.87848377025,16.410322259,18.8283659593,22.661855187,2.8193179255,4.6845409824,6.0436043389,7.6803586406,10.4107710976,2.2889665692,4.0329856335,5.2472201503,6.7072660166,8.827905503,1,3,4,5,7,0,1,1,2,4,0,0,1,2,3
2020-03-30,12.6052871702,16.2887571312,18.9641315814,21.8773061629,25.5954747341,3.3686252955000002,5.5100311416,7.1927294243,8.8759419452,11.6024719465,2.8691723081,4.8251310585,6.3006616811,7.7673187763,9.8616470243,1,3,4,6,8,0,1,2,3,4,0,1,1,2,4
2020-03-31,14.9245266173,18.8532646964,21.9646815372,24.7643321446,28.8080644495,4.1314439817,6.498195205,8.1680230785,10.0499197479,13.0717055789,3.6279856513,5.630436967950001,7.1221201715,8.8444609642,11.2975778884,1,3,5,6,9,0,1,2,3,4,0,1,1,2,4
2020-04-01,17.3654973896,21.3820713004,24.5679252478,27.4524943628,32.3402304879,4.7733315904,7.3587826131,9.300048780000001,11.303414696925,14.4515961055,4.2384392632,6.3810233945,8.1218276624,9.9345361189,12.6978977653,2,3,5,7,9,0,1,2,3,5,0,1,2,3,4
2020-04-02,20.4074145762,23.9915684303,27.0519702774,30.5389400529,35.3808307594,5.536862619,8.3049202041,10.17465289185,12.3790563889,16.2832696453,4.844339275,7.2260630452,8.9547588707,10.9639331858,13.9110679303,2,4,5,7,10,0,1,2,3,5,0,1,2,3,4
2020-04-03,22.3893384497,26.394286793,29.6746932088,33.1260460474,37.8433633291,6.107647483460001,9.0497287519,11.0904219406,13.5902618369,17.5882484828,5.7627243201,8.0475123196,9.7340627644,11.6169025858,14.853148883874958,2,4,5,7,10,0,1,2,3,5,0,1,2,3,4
2020-04-04,24.1681781886,28.6683394634,32.01858175315,35.4235222081,41.1040582274,6.477425273195001,9.7310608756,11.8875517148,14.554902878,18.6382595442,6.2940087718,8.6119822292,10.5264940698,12.6234038465,15.559471972814986,2,4,5,7,10,0,1,2,3,5,0,1,2,3,4
2020-04-05,25.6386814355,30.5754007795,33.9272413727,37.2974298256,42.8840452571,7.2178107174,10.2800128894,12.6290566169,15.379924093,19.6695606349,6.7945679381,9.2446474848,11.24979266145,13.0512784963,16.2797798191,2,4,5,7,10,0,1,2,3,5,0,1,2,3,4
2020-04-06,27.5208413495,32.1062779908,35.6090827563,38.8179583108,43.9903920805,7.595318612,10.9948866964,13.3270107897,16.0565040252,20.3391395684,7.1862871556,9.9202940549,11.7270032068,13.6996129692,16.8694092195,2,4,5,7,9,0,1,2,3,5,0,1,2,3,4
2020-04-07,29.0692535065,33.489974888,36.8448474184,40.0183914076,45.6017278558,8.0171727339,11.415984238,13.9599533775,16.814005593,20.8400056836,7.800132378400001,10.2514865192,12.2431394307,14.1057543232,17.451132495419877,2,3,5,7,9,0,1,2,3,5,0,1,2,3,4
2020-04-08,29.7118305086,34.2557270147,37.7670142551,41.0666509603,46.0378562429,8.1827824469,11.6871893653,14.2494728346,17.0665976151,21.209732451709996,8.0895664911,10.5693069297,12.4679592606,14.433770337224999,17.4866854581,1,3,5,6,9,0,1,2,3,4,0,1,1,2,4
2020-04-09,30.483426324,34.8383957833,38.0967772407,41.657275496,46.4062057497,8.4880111047,11.8859420762,14.4655910002,17.4234670988,21.3882628635,8.4644604418,10.8173889171,12.5915319813,14.6837780524,17.6578882533,1,3,5,6,8,0,1,2,3,4,0,1,1,2,4
2020-04-10,30.9444468951,35.1893195684,38.4191333481,41.9180581667,46.9849015955,8.4634134671,11.9898879698,14.6244198442,17.5558837028,21.5521695516,8.4593144579,10.9055163801,12.7618896215,14.6811712392,17.9610716763,1,3,4,6,8,0,1,2,3,4,0,1,1,2,4
2020-04-11,31.0566020856,35.2586887986,38.544247618949996,41.9257358691,46.6779411707,8.4252587205,11.89012545065,14.7318856766,17.558594472,21.3308407789,8.2763087112,10.9038723411,12.7916316231,14.835006741499999,17.7685330065,1,3,4,6,8,0,1,1,2,4,0,0,1,2,4
2020-04-12,30.5232245949,35.473576671000004,38.5209370332,41.73307128,46.6749536629,8.3738788388,11.829177810800001,14.7787527155,17.5385925254,21.654475137269948,8.3901115286,10.8916141026,12.7210377884,14.8290594692,17.6121625557,1,3,4,5,8,0,1,1,2,4,0,1,1,2,4
2020-04-13,30.765029439100005,35.138050396400004,38.2910512936,41.5880607675,46.7395824739,8.4044820438,11.6959848782,14.747094430499999,17.692545091725002,21.477577075,8.3879329783,10.909931975,12.75067096045,14.869076324,17.6239444152,1,3,4,5,8,0,1,1,2,4,0,0,1,2,4
2020-04-14,30.236476096700002,34.8079680751,38.0252248561,41.2465246161,46.2677036664,8.04591399955,11.5223941567,14.6094210015,17.5043926783,21.5929024626,8.3523277711,10.8180890436,12.6128450988,14.6467057456,17.3257376142,1,2,3,5,7,0,1,1,2,4,0,0,1,2,3
2020-04-15,30.3414077203,34.4795781348,37.4050357016,40.8049589729,45.88998375136999,7.602496660840001,11.5359203081,14.4518137705,17.3462111773,21.110003620299995,8.3488251793,10.6115538919,12.4184711883,14.473113494,17.2614455986,1,2,3,5,7,0,0,1,2,4,0,0,1,2,3
2020-04-16,29.637560179799998,33.9236511015,36.837428426900004,40.1171365312,44.8561412655,7.2104589591,11.2214696213,14.3157577629,17.1603899033,21.2072865598,8.230051649680002,10.523580453,12.2386211408,14.2303240418,16.8618600113,1,2,3,5,7,0,0,1,2,4,0,0,1,2,3
2020-04-17,28.8042543274,33.1325389659,36.41134751840001,39.2417030832,44.2946781438,6.8628423872,10.8326000303,14.0191788764,16.8405892298,20.9545408635,7.905221972455001,10.2306891021,12.10611096325,13.7583617178,16.57107243,1,2,3,5,7,0,0,1,2,3,0,0,1,2,3
2020-04-18,28.6701758783,32.5120497178,35.55537941,38.5519094083,43.5537309749,6.565935895,10.6828490273,13.7376355149,16.5178841383,20.3547335673,7.6964963273,10.098615405225,11.6934454299,13.491467165900001,16.1036884967,1,2,3,4,7,0,0,1,2,3,0,0,1,2,3
2020-04-19,27.8642364884,31.6843442377,34.9015685121,37.730457135,42.0639610547,6.4185211743,10.5001140428,13.58524326875,16.3001096809,20.2485832633,7.7672961319,9.9168176861,11.3909331094,13.1971373926,15.836289911599998,1,2,3,4,6,0,0,1,2,4,0,0,1,2,3
2020-04-20,27.289031026,31.212761567825,34.0810649449,36.9104373286,41.8135152065,6.2506511574,10.3056393715,13.2392873383,15.96205098605,19.9724690583,7.6263027569,9.6367849545,11.3010487095,12.9121983706,15.4181802282,0,2,3,4,6,0,0,1,2,3,0,0,1,2,3
2020-04-21,26.7381134041,30.3149491899,33.1458607651,36.3823063346,41.1154330104,5.9573764801,10.1706004718,12.900804938,15.7072261279,19.8048460441,7.3983911792,9.4078677356,11.0299650106,12.7272240386,14.9337475838,0,2,3,4,7,0,0,1,2,4,0,0,1,2,3
2020-04-22,25.8467440068,29.8320827554,32.531597983,35.5954112388,40.0946737464,5.6287753033,9.8665342507,12.7461920065,15.2164232545,19.7948348202,7.2154970582,9.1874276049,10.841559250700001,12.452542829225,14.6364568116,0,2,3,4,6,0,0,1,2,3,0,0,1,2,3
2020-04-23,24.9764889718,29.1566348001,31.8586087913,34.9874454725,39.5757751151,5.2880045965,9.6483578453,12.4019630923,14.9974144983,19.3639137177,7.0154972237,8.9479967607,10.52349713925,12.1231893005,14.625780824700001,0,1,3,4,6,0,0,1,2,3,0,0,1,2,3
