date,Hospitalized Census 5%,Hospitalized Census 25%,Hospitalized Census Median,Hospitalized Census 75%,Hospitalized Census %95,ICU Census 5%,ICU Census 25%,ICU Census Median,ICU Census 75%,ICU Census %95,Vent Census 5%,Vent Census 25%,Vent Census Median,Vent Census 75%,Vent Census %95,Hospitalized Admits 5%,Hospitalized Admits 25%,Hospitalized Admits Median,Hospitalized Admits 75%,Hospitalized Admits %95,ICU Admits 5%,ICU Admits 25%,ICU Admits Median,ICU Admits 75%,ICU Admits %95,Vent Admits 5%,Vent Admits 25%,Vent Admits Median,Vent Admits 75%,Vent Admits %95
2020-04-25,24.9584117853,28.5365630935,31.260623084,34.3229113275,38.7356994098,4.5457791294,7.2883720853,9.84233276,13.0464616038,17.2519323297,6.1151984079,8.2569472942,9.7659169827,11.3561109689,13.90266641,0,1,2,4,6,0,0,1,2,3,0,0,1,1,3
2020-04-26,24.1739252057,27.8292005593,30.5317887713,33.7690446485,38.0401463264,4.3742602169000016,7.0177699494,9.800027431,12.5390716857,17.22976751699499,6.0136784806,7.9786318956,9.6254751871,11.3217575263,13.5781734261,0,1,2,4,6,0,0,1,2,3,0,0,1,1,3
2020-04-27,23.6093505751,27.2119220631,29.9827076177,32.7915152528,37.54109518259487,4.0214256074,6.7954114075,9.5500043544,12.3691183615,16.5699514936,5.7399876915,7.7354356116,9.442750427,10.9327285159,13.2390877108,0,1,2,3,5,0,0,1,2,3,0,0,1,1,3
2020-04-28,22.8775561409,26.4418144823,29.431976646,32.2254341267,37.0576933317,4.0143783674,6.6431256275,9.3514154021,12.2052873648,16.5154819797,5.5484973709,7.6393765307,9.2443518739,10.735250745,13.1030608699,0,1,2,3,5,0,0,1,2,3,0,0,1,1,3
2020-04-29,21.9832652426,25.5590552864,28.5458075427,31.5800522053,36.6046999735,4.0064165155,6.36603991005,8.9524703215,11.8734285674,16.32575355372492,5.4568800976,7.43626733,8.9050272133,10.4878981788,12.9906696468,0,1,2,3,5,0,0,1,1,3,0,0,1,1,3
2020-04-30,21.5224042695,25.0382278874,27.827634867,31.0370622957,35.9443920976,3.7580030829,6.3070338856,8.7406977655,11.6638605882,15.7680024214,5.2726945617,7.2472472009,8.741700104,10.3334917047,12.9783729752,0,1,2,3,5,0,0,1,1,3,0,0,1,1,3
2020-05-01,21.0785843587,24.4096188578,27.1842602462,30.3394815029,35.5367136693,3.556130715,6.2556439794,8.6846701494,11.3050478613,15.361794204799999,5.1262051425,7.1674586687,8.4152231331,10.073709086,12.6786469903,0,1,2,3,5,0,0,1,1,3,0,0,1,1,2
2020-05-02,20.4047832706,23.7772096013,26.6036922545,29.601789397,35.0718594532,3.4173042162,5.9937977214,8.4560336084,11.333052083,15.0665494982,4.9579981957,6.9354263387,8.2412936318,9.9191767001,12.470241961,0,1,2,3,5,0,0,1,1,3,0,0,1,1,2
2020-05-03,19.775736044,23.1889416087,26.1484626947,29.027084012,34.2225477448,3.3712207747550025,5.8719089174,8.1620822948,10.8818153695,15.0229628477,4.7292621265,6.5933750938,8.1584860513,9.7883087056,12.0903525432,0,1,2,3,5,0,0,1,1,3,0,0,1,1,3
2020-05-04,18.6166463595,22.5635260244,25.4273851495,28.5237848138,33.8077426297,3.1040461194,5.7278438965,8.0439119456,10.7427208389,14.777833041919944,4.6731976988,6.3963978641,7.9688731302,9.5943527111,11.738612051,0,1,2,3,5,0,0,1,1,3,0,0,1,1,2
