,date,hosp_census_5_current,hosp_census_95_current,hosp_census_median_current,hosp_census_5_reduction_20,hosp_census_95_reduction_20,hosp_census_median_reduction_20
60,2020-05-23,23.13593658,37.60776202,30.18842495,55.74727991,106.0538927,77.04997841
61,2020-05-24,22.80232191,37.8367223,30.08918488,58.431274,113.1833141,81.45929034
62,2020-05-25,22.54478162,38.05283955,30.0660442,61.14976405,120.7931836,86.03241923
63,2020-05-26,22.23907398,38.28482159,30.04256457,63.73974582,128.6935635,91.08985731
64,2020-05-27,21.89838864,38.51700038,29.97095554,66.59580872,137.3888858,96.28250877
65,2020-05-28,21.64205144,38.74920407,29.91778045,69.69722437,146.8844955,101.4847312
66,2020-05-29,21.34211357,38.97688528,29.81651309,72.61082516,156.0486197,107.2808314
67,2020-05-30,21.03754113,39.20423803,29.73726025,75.70712914,166.0295275,113.1997766
68,2020-05-31,20.73564314,39.44411731,29.68658508,78.81541936,177.0466582,119.6168666
69,2020-06-01,20.43724657,39.65841862,29.64551064,82.27012839,188.4528989,126.4380869
70,2020-06-02,20.14233011,39.88364876,29.53653177,85.74970613,200.8708172,133.1822405
71,2020-06-03,19.8646914,40.10974745,29.46597589,89.42125722,213.9499693,140.2358704
72,2020-06-04,19.59471752,40.33375784,29.33013357,93.20217288,227.7122362,147.6092004
73,2020-06-05,19.3330543,40.58865326,29.26185671,96.91511157,241.3732805,155.312175
74,2020-06-06,19.11590604,40.831543,29.25436456,100.8596637,256.0899858,163.354387
75,2020-06-07,18.85059608,41.06082967,29.16991296,105.1624951,272.5215296,171.6882312
76,2020-06-08,18.58778377,41.29024529,29.09265642,109.3860816,289.7254498,180.4926544
77,2020-06-09,18.32883511,41.51473149,28.9695249,113.6841972,306.7977758,189.6053857
78,2020-06-10,18.07368273,41.76898575,28.85670479,118.0760104,324.0057912,199.0905085
79,2020-06-11,17.81778459,42.01318636,28.74427254,122.5568776,343.3170396,208.9545137
80,2020-06-12,17.55365671,42.27623817,28.71407457,127.1215138,363.8353743,219.20295
81,2020-06-13,17.29713797,42.58436819,28.60097908,131.763977,384.9805314,229.8923076
82,2020-06-14,17.06527448,42.89369148,28.48739761,136.4776583,406.9261841,240.9722587
83,2020-06-15,16.83747653,43.1597292,28.40614816,141.2552757,429.6484218,252.2935639
84,2020-06-16,16.58447026,43.39982705,28.28999753,146.0888743,453.0526826,263.9991711
85,2020-06-17,16.35103808,43.64172522,28.20462081,151.1951315,476.0811001,275.2383173
86,2020-06-18,16.11925701,43.89330792,28.13507326,155.8888734,499.9677321,288.0732203
87,2020-06-19,15.87213331,44.1186144,28.04253797,160.8360857,525.7690016,300.1008112
88,2020-06-20,15.62665321,44.3433748,27.97524,165.8009484,549.5521505,313.233969
89,2020-06-21,15.3843049,44.56755897,27.83612926,171.9511282,573.758925,325.6187582
90,2020-06-22,15.14507209,44.79113681,27.69541719,177.87223,601.0131174,338.022316
91,2020-06-23,14.90039283,45.01407826,27.59895563,183.8941573,628.6487762,351.8427942
92,2020-06-24,14.64791244,45.23635331,27.53138623,188.7754921,652.7913269,366.3376838
93,2020-06-25,14.39925693,45.45793193,27.38058842,194.7626563,676.2778027,380.5142475
94,2020-06-26,14.1543877,45.6787841,27.25641652,199.92316,704.3998379,394.1187814
95,2020-06-27,13.93311213,45.89887979,27.17696595,204.3454135,728.0990796,407.7180778
96,2020-06-28,13.710945,46.11818897,27.06890159,209.1148161,754.5030699,421.2664239
97,2020-06-29,13.50231174,46.33668155,26.97741468,211.8922194,784.4797556,434.7161111
98,2020-06-30,13.28948109,46.55432745,26.86385128,216.2124406,814.2181894,451.201276
99,2020-07-01,13.07949321,46.77109655,26.79946042,221.2759695,840.0872501,466.2465011
100,2020-07-02,12.87232798,46.98695868,26.7315046,225.5634122,868.8078002,481.051753
101,2020-07-03,12.66852001,47.20188368,26.63088289,228.7251911,897.7977758,495.7751005
102,2020-07-04,12.46782122,47.41584134,26.52977554,233.1091557,926.5469722,510.3685268
103,2020-07-05,12.26985264,47.62880141,26.43668986,237.3715021,954.556771,525.3785547
104,2020-07-06,12.0745927,47.84073365,26.31017896,240.7066242,982.0851843,540.4022766
105,2020-07-07,11.88201938,48.05160777,26.17392129,243.8463847,1008.884726,554.6349036
106,2020-07-08,11.69255925,48.26139348,26.05751183,248.6369301,1034.835324,567.6736146
107,2020-07-09,11.50577604,48.47006047,25.97391874,255.4718409,1057.193424,580.9408331
108,2020-07-10,11.32161365,48.67757844,25.887662,260.9509324,1078.680632,592.3707076
109,2020-07-11,11.15313366,48.88391708,25.80293873,264.4848561,1098.696293,603.4457579
110,2020-07-12,10.98179268,49.08904608,25.68292952,265.5848946,1121.951898,613.6784311
111,2020-07-13,10.80039811,49.29293514,25.58784538,269.1058674,1147.952073,623.1710454
112,2020-07-14,10.61969338,49.495554,25.51426696,272.3379889,1167.222859,636.4900771
113,2020-07-15,10.44167341,49.69687241,25.43531558,276.1262763,1185.174848,646.9765245
114,2020-07-16,10.26974949,49.89686015,25.33460339,278.5580231,1200.812248,652.7916112
115,2020-07-17,10.11511178,50.11813376,25.19753999,279.1011138,1219.815613,663.5961369
116,2020-07-18,9.962683045,50.33848334,25.12105802,281.8798123,1234.660939,673.0067286
117,2020-07-19,9.812435412,50.55764584,25.04445234,281.8121789,1247.781276,679.8169839
118,2020-07-20,9.664341252,50.77558917,24.96772656,281.8149891,1261.950321,685.7986198
119,2020-07-21,9.518373172,51.01413394,24.86506397,281.4112323,1277.02548,692.2358974
120,2020-07-22,9.374504015,51.26082592,24.73336636,280.2769049,1290.159027,695.2032528
121,2020-07-23,9.232706865,51.50658888,24.64207892,279.8211825,1299.051506,694.8505486
122,2020-07-24,9.092955048,51.75138925,24.5506884,277.638241,1307.303276,694.0745577
123,2020-07-25,8.955222133,51.99519345,24.45920029,276.6373576,1309.421063,694.028733
124,2020-07-26,8.819481935,52.23796787,24.35594768,275.6375843,1315.188252,693.5761569
125,2020-07-27,8.685708514,52.47967886,24.23915615,273.9413039,1320.525258,693.5623795
126,2020-07-28,8.553876175,52.72029276,24.13667678,271.7082347,1319.715027,695.5074498
127,2020-07-29,8.423959473,52.9597759,24.0474806,269.0248467,1333.110623,691.9970191
128,2020-07-30,8.295933208,53.19809457,23.88470559,264.8481715,1341.452493,686.8218512
129,2020-07-31,8.169772432,53.4352151,23.80849214,260.5223038,1343.58828,678.9427756
130,2020-08-01,8.045452442,53.67110379,23.72823832,256.7518231,1343.108392,676.4996726
131,2020-08-02,7.922948787,53.90572696,23.62181101,251.8873412,1354.058381,672.4531022
132,2020-08-03,7.802136157,54.06610892,23.49814489,248.4125813,1362.376829,665.7908909
133,2020-08-04,7.682457426,54.23913371,23.38747469,244.8077483,1359.389001,658.571218
134,2020-08-05,7.565334145,54.42251802,23.28807867,241.0547743,1355.642111,654.2918628
135,2020-08-06,7.449930221,54.57888309,23.1851895,237.1958578,1350.43959,643.4242484
136,2020-08-07,7.336222462,54.67040924,23.0685328,233.2327538,1349.713118,629.3562339
137,2020-08-08,7.224187926,54.80921825,22.97200011,229.1770537,1345.261976,615.0548843
138,2020-08-09,7.11380392,54.87426186,22.87538345,225.0400774,1338.863111,602.459045
139,2020-08-10,7.005047997,55.01450812,22.76040118,220.8328345,1331.381307,591.0070428
140,2020-08-11,6.897897956,55.19763902,22.63922148,216.5659923,1320.281403,581.747872
141,2020-08-12,6.792331844,55.37883482,22.51799443,212.4841173,1315.05995,569.2187312
142,2020-08-13,6.688327952,55.55806621,22.39673157,208.7661499,1301.763647,560.2133938
143,2020-08-14,6.585864815,55.73530413,22.27544436,204.757179,1293.642727,549.3577454
144,2020-08-15,6.48492121,55.90745412,22.15414411,199.9323949,1284.174514,535.5432638
145,2020-08-16,6.385476158,56.08368443,22.03284201,195.3868531,1279.791315,521.7684701
146,2020-08-17,6.287487073,56.25476989,21.91154913,191.4446722,1270.695328,508.937865
147,2020-08-18,6.190921712,56.26619387,21.76981725,186.8757746,1255.863218,496.081355
148,2020-08-19,6.09579482,56.20580594,21.62760822,182.0758671,1243.725504,482.0027109
149,2020-08-20,6.002086353,56.20635457,21.48538847,177.3257049,1220.233706,469.3369859
150,2020-08-21,5.909776503,56.36869494,21.34317721,172.6782608,1207.797202,462.5478124
151,2020-08-22,5.818845697,56.52875994,21.2009934,168.3422754,1196.265298,448.3068554
152,2020-08-23,5.729274595,56.68652238,21.05885572,163.6749451,1176.289784,436.6790235
153,2020-08-24,5.641044088,56.84195542,20.91678256,158.9152681,1140.878858,428.0464826
154,2020-08-25,5.554135299,56.99503259,20.77479205,154.543171,1134.844471,416.0674968
155,2020-08-26,5.468529578,57.0643812,20.64483077,150.2520665,1108.549557,405.7238644
156,2020-08-27,5.384208501,57.08120574,20.51137435,146.3730162,1090.17965,394.0697467
157,2020-08-28,5.301153872,57.09368,20.37187435,142.7929432,1066.571667,382.2400183
158,2020-08-29,5.219220786,57.10291423,20.23487237,138.5831298,1042.246699,371.228209
159,2020-08-30,5.131892719,57.13855937,20.14846749,134.952845,1016.617533,360.9928743
160,2020-08-31,5.044413466,57.20760561,20.06114218,130.8300732,993.3494746,350.8382237
161,2020-09-01,4.958346213,57.376097,19.97390704,126.6006014,974.3730241,340.8706952
162,2020-09-02,4.873670932,57.54270735,19.88437345,122.5805719,948.7895524,331.6369977
163,2020-09-03,4.790481993,57.70741271,19.78682425,118.9719103,928.8961603,321.5378016
164,2020-09-04,4.709048974,57.72626542,19.68944762,115.1928746,908.1689974,312.5271637
165,2020-09-05,4.628964611,57.77513823,19.6019788,111.5018255,899.6917279,303.2832145
166,2020-09-06,4.552486195,57.94592855,19.50207382,108.2276383,880.7524511,294.0665085
167,2020-09-07,4.483516123,58.11407859,19.38474328,105.5391532,863.5474607,284.9962531
168,2020-09-08,4.411215186,58.28115514,19.26618843,102.134762,843.9782048,276.1369634
169,2020-09-09,4.33825462,58.44714285,19.14786104,99.32202521,819.3688318,267.6438666
170,2020-09-10,4.270057851,58.57448883,19.029769,96.56395577,807.9480554,259.3722108
171,2020-09-11,4.202912351,58.69117855,18.91192005,93.67717711,796.8165734,250.600401
172,2020-09-12,4.136802571,58.8464199,18.79432182,90.69400803,785.3280578,242.3992424
173,2020-09-13,4.07171317,58.99950509,18.68401504,87.96750243,767.075708,234.5733901
174,2020-09-14,4.007629013,59.15041111,18.57848172,85.14488779,745.8814292,226.532908
175,2020-09-15,3.944535172,59.25480508,18.4771519,82.85248229,725.153189,218.8728219
176,2020-09-16,3.882416921,59.30000521,18.35861923,80.41655742,704.8179757,211.2356935
177,2020-09-17,3.820890961,59.34153685,18.22921184,77.62854467,683.9034104,203.626714
178,2020-09-18,3.760268992,59.37939532,18.09796385,74.86147408,662.6237928,195.9954286
179,2020-09-19,3.700592194,59.4135769,17.97876653,72.49049638,642.1938969,189.889135
180,2020-09-20,3.641846385,59.44407876,17.8841424,69.96712806,625.9714866,184.2101335
181,2020-09-21,3.584017576,59.47089903,17.80046873,67.50225296,608.4273863,178.6186311
182,2020-09-22,3.527091971,59.49403675,17.71843955,65.49790053,593.1778262,172.0384507
183,2020-09-23,3.471055963,59.5134919,17.61194405,63.53917108,582.2061768,166.5571965
184,2020-09-24,3.415896136,59.56292078,17.5057532,61.32527741,569.0822552,160.9851383
185,2020-09-25,3.361625797,59.65547651,17.39987161,59.41999233,554.4328328,155.5343585
186,2020-09-26,3.308342862,59.7458028,17.29430378,57.01643094,539.9996303,150.1227608
187,2020-09-27,3.254510466,59.83388756,17.18905414,54.69676745,525.7185447,144.8781788
188,2020-09-28,3.200185361,59.91971907,17.07326391,52.64563287,511.5363501,139.7971447
189,2020-09-29,3.146748712,60.00384229,16.97891538,50.81840322,496.7253759,134.8761178
190,2020-09-30,3.094186604,60.08874051,16.84278937,49.04839751,481.2874149,129.9333204
191,2020-10-01,3.042485321,60.17139489,16.72319677,47.18278273,466.2237206,124.8519603
192,2020-10-02,2.991631342,60.25179477,16.6279268,45.1382749,451.5334811,120.3315683
193,2020-10-03,2.941611337,60.32992988,16.53658103,43.2021983,437.2151097,116.1245312
194,2020-10-04,2.89241217,60.40579026,16.4454588,41.76466951,423.2663153,111.7852783
195,2020-10-05,2.844020889,60.47094693,16.32541547,40.4219213,409.6841684,107.9747409
196,2020-10-06,2.796424734,60.53020843,16.19029061,38.99991969,396.4651638,103.9816626
197,2020-10-07,2.749611126,60.58904364,16.07288286,37.62739336,383.6052799,100.1299481
198,2020-10-08,2.70356767,60.65177473,15.98705978,36.13419326,371.1000338,96.70283954
199,2020-10-09,2.658282151,60.71214693,15.90151787,34.76152486,358.944534,93.22926623
