date,Hospitalized Census 5%,Hospitalized Census 25%,Hospitalized Census Median,Hospitalized Census 75%,Hospitalized Census %95,ICU Census 5%,ICU Census 25%,ICU Census Median,ICU Census 75%,ICU Census %95,Vent Census 5%,Vent Census 25%,Vent Census Median,Vent Census 75%,Vent Census %95,Hospitalized Admits 5%,Hospitalized Admits 25%,Hospitalized Admits Median,Hospitalized Admits 75%,Hospitalized Admits %95,ICU Admits 5%,ICU Admits 25%,ICU Admits Median,ICU Admits 75%,ICU Admits %95,Vent Admits 5%,Vent Admits 25%,Vent Admits Median,Vent Admits 75%,Vent Admits %95
2020-03-17,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1
2020-03-18,0.0,0.0,0.8941089803000001,1.6936627031,2.8559176707000002,0.0,0.0,0.0,0.8762508351,1.8299621370999999,0.0,0.0,0.0,0.8522746941,1.0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1
2020-03-19,0.0,0.8031757471000001,1.0,2.0,3.6501816459,0.0,0.0,0.0,1.0,1.9196912562699913,0.0,0.0,0.0,1.0,1.8722600121,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1
2020-03-20,0.0,1.0,1.8929784657000002,2.8972612754,4.6776502202,0.0,0.0,0.8054479861,1.408275148,2.5656383337049835,0.0,0.0,0.7574715437,1.0,2.2555557884,0,0,1,1,3,0,0,0,1,2,0,0,0,1,1
2020-03-21,0.6959340984250003,1.7558799673,2.80313497685,4.0768010644,6.0744236393,0.0,0.5231337243,1.0,1.7962935896,3.0879232569549853,0.0,0.0,0.8799517716,1.6517499787,2.8545597531,0,0,1,2,3,0,0,0,1,2,0,0,0,1,2
2020-03-22,1.0,2.6130549235,3.7856075748,5.2010475687,7.2763013691000005,0.0,0.7419433772,1.4600626792,2.26337025,3.7757701178000005,0.0,0.655034753,1.1161038203,2.0,3.3655930211,0,0,1,2,3,0,0,0,1,2,0,0,0,1,2
2020-03-23,1.7688263456,3.5414766376999998,4.9413693034,6.4664225348,8.816546639469959,0.0,1.0,1.7532924473,2.7503633745,4.3091368761,0.0,0.8576780317,1.5952135970999999,2.4950628267,3.9090429833,0,1,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-03-24,2.6115500537000003,4.7237388203,6.3144470569,8.0339993842,10.6736947974,0.4489059501,1.4666703471,2.3194550988,3.4061932171000002,5.1152136036,0.0,1.2949254602,2.0650319792,3.0,4.6137750619,0,1,2,3,4,0,0,1,1,2,0,0,1,1,2
2020-03-25,3.9534775253000003,6.1197562681,7.8476406337,9.7904212246,12.7090579879,0.7825323006,1.9642853707,2.9481807839,4.1487550437,5.9506476595,0.5979813489,1.6704089851,2.6214151673,3.7025428411,5.4404622022,0,1,2,3,5,0,0,1,2,3,0,0,1,1,2
2020-03-26,5.302341836,7.6246524358,9.7447945325,11.8981634544,15.1656841993,1.1390527211,2.556161545,3.718738814,4.9520167254,6.9163837671,0.9036404104,2.1915880002,3.2880935901,4.3998883995,6.2655929891,0,2,3,4,6,0,0,1,2,3,0,0,1,2,3
